STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
725955 24259  19500404    46.0 24    21.7 24  1017.4 24   923.5 24   45.6 24    6.4 24   12.0  999.9    68.0*   28.0*  0.00I 999.9  000000 
725955 24259  19500405    55.5 24    31.3 24  1007.3 24   915.2 24   23.0 24   15.8 24   30.1  999.9    66.0*   51.1* 99.99  999.9  010000 
725955 24259  19500406    42.3 24    28.8 24  1010.1 24   916.8 24   25.6 24    8.7 24   19.0  999.9    54.0*   30.0* 99.99  999.9  010000 
725955 24259  19500407    41.4 24    32.3 24  1004.7 24   911.6 24   15.8 24   14.0 24   22.9  999.9    50.0*   37.9* 99.99  999.9  010000 
725955 24259  19500408    37.2 24    30.4 24  1005.2 24   911.6 24   16.1 24    5.4 24   15.9  999.9    46.9*   30.9* 99.99  999.9  111000 
725955 24259  19500409    38.0 24    27.1 24  1014.2 24   919.8 24   26.1 24    3.7 24   13.0  999.9    55.9*   26.1* 99.99  999.9  010000 
725955 24259  19500410    43.4 24    28.2 24  1021.8 24   927.2 24   30.0 24    5.2 24   17.1  999.9    60.1*   30.9*  0.00I 999.9  000000 
725955 24259  19500411    47.5 24    25.0 24  1020.6 24   926.6 24   29.6 24    8.7 24   22.9  999.9    64.0*   32.0*  0.00I 999.9  000000 
725955 24259  19500412    53.6 24    28.5 24  1014.9 24   922.1 24   24.4 24   16.7 24   22.9  999.9    60.1*   48.9* 99.99  999.9  010000 
725955 24259  19500413    41.5 24    32.7 24  1017.2 24   923.2 24   19.2 24    6.6 24   14.0  999.9    51.1*   36.0* 99.99  999.9  010000 
725955 24259  19500414    39.4 24    30.8 24  1026.6 24   931.3 24   28.2 24    2.2 24    4.1  999.9    53.1*   27.0* 99.99  999.9  010000 
725955 24259  19500415    46.0 24    33.2 24  1027.6 24   932.6 24   34.6 24    4.1 24   10.1  999.9    64.9*   34.0*  0.00I 999.9  000000 
725955 24259  19500416    51.7 24    36.7 24  1022.2 24   928.4 24   37.7 24    4.0 24   12.0  999.9    71.1*   34.0*  0.00I 999.9  000000 
725955 24259  19500417    53.9 24    37.4 24  1021.5 24   928.1 24   36.9 24    4.4 24   11.1  999.9    70.0*   37.9*  0.00I 999.9  000000 
725955 24259  19500418    52.2 24    28.2 24  1021.7 24   928.1 24   39.4 24    6.0 24   15.9  999.9    73.0*   33.1*  0.00I 999.9  000000 
725955 24259  19500419    55.8 24    30.7 24  1019.7 24   926.5 24   20.1 24    1.4 24    5.1  999.9    82.9*   36.0*  0.00I 999.9  000000 
725955 24259  19500420    60.2 24    37.4 24  1018.7 24   926.0 24   20.3 24    4.1 24   15.9  999.9    82.9*   41.0*  0.00I 999.9  000000 
725955 24259  19500421    56.9 24    31.5 24  1016.9 24   924.3 24   33.6 24    6.5 24   15.9  999.9    77.0*   37.9*  0.00I 999.9  000000 
725955 24259  19500422    56.0 24    19.9 24  1012.5 24   920.2 24   34.4 24    8.4 24   21.0  999.9    75.0*   41.0*  0.00I 999.9  000000 
725955 24259  19500423    44.1 24    24.6 24  1019.4 24   925.4 24   33.3 24    8.9 24   17.1  999.9    59.0*   30.9*  0.00I 999.9  000000 
725955 24259  19500424    45.5 24    19.1 24  1019.9 24   925.7 24   38.7 24    5.3 24   11.1  999.9    64.0*   27.0*  0.00I 999.9  000000 
725955 24259  19500425    53.7 24    26.2 24  1015.4 24   922.4 24   37.5 24    6.7 24   14.0  999.9    68.0*   39.0*  0.00I 999.9  000000 
725955 24259  19500426    48.8 24    27.5 24  1016.0 24   922.6 24   39.1 24    6.4 24   19.0  999.9    70.0*   30.0*  0.00I 999.9  000000 
725955 24259  19500427    51.1 24    31.8 24  1013.1 24   920.1 24   31.3 24    8.8 24   21.0  999.9    60.1*   41.0* 99.99  999.9  010000 
725955 24259  19500428    42.4 24    22.7 24  1017.0 24   923.1 24   39.8 24    8.5 24   17.1  999.9    60.1*   28.0*  0.00I 999.9  000000 
725955 24259  19500429    48.2 24    21.0 24  1017.2 24   923.5 24   39.8 24    6.1 24   11.1  999.9    64.9*   30.9*  0.00I 999.9  000000 
725955 24259  19500430    50.8 24    24.0 24  1012.4 24   919.4 24   37.9 24    4.5 24   17.1  999.9    64.9*   33.1*  0.00I 999.9  000000 
725955 24259  19500501    45.6 24    33.6 24  1005.8 24   913.2 24   20.3 24    8.7 24   17.1  999.9    57.0*   39.0* 99.99  999.9  010000 
725955 24259  19500502    39.9 24    27.6 24  1006.4 24   913.0 24   24.6 24    4.4 24   15.0  999.9    46.9*   34.0*  0.00I 999.9  000000 
725955 24259  19500503    38.1 24    27.5 24  1008.5 24   914.7 24   17.1 24    6.4 24   22.0  999.9    46.9*   33.1* 99.99  999.9  001000 
725955 24259  19500504    43.4 24    28.0 24  1018.6 24   924.1 24   23.4 24    6.0 24   20.0  999.9    52.0*   37.9*  0.00I 999.9  000000 
725955 24259  19500505    46.4 24    30.4 24  1020.9 24   926.8 24   28.0 24    5.8 24   17.1  999.9    55.9*   37.0*  0.00I 999.9  000000 
725955 24259  19500506    40.9 24    21.9 24  1021.6 24   927.1 24   28.2 24   12.0 24   17.1  999.9    51.1*   32.0*  0.00I 999.9  000000 
725955 24259  19500507    42.2 24    24.3 24  1022.3 24   927.5 24   29.6 24    9.1 24   15.9  999.9    57.9*   30.0*  0.00I 999.9  000000 
725955 24259  19500508    46.1 24    26.0 24  1022.5 24   928.1 24   35.2 24    6.7 24   15.0  999.9    64.0*   28.0*  0.00I 999.9  000000 
725955 24259  19500509    50.5 24    29.0 24  1022.0 24   928.0 24   28.0 24    6.4 24   15.0  999.9    68.0*   30.9*  0.00I 999.9  000000 
725955 24259  19500510    55.9 24    33.5 24  1020.0 24   926.7 24   34.6 24    4.4 24   15.0  999.9    75.9*   37.9*  0.00I 999.9  000000 
725955 24259  19500511    64.3 24    36.3 24  1015.1 24   922.9 24   39.6 24    4.9 24   15.0  999.9    81.0*   48.0*  0.00I 999.9  000000 
725955 24259  19500512    64.1 24    38.7 24  1015.0 24   923.0 24   35.4 24    4.2 24   10.1  999.9    82.9*   45.0*  0.00I 999.9  000000 
725955 24259  19500513    63.2 24    44.6 24  1014.5 24   922.4 24   34.8 24    5.9 24   15.9  999.9    82.0*   43.0*  0.00I 999.9  000000 
725955 24259  19500514    62.3 24    43.1 24  1014.0 24   922.1 24   36.5 24    8.6 24   17.1  999.9    77.0*   48.0* 99.99  999.9  010000 
725955 24259  19500515    58.6 24    26.9 24  1014.4 24   922.0 24   40.6 24    7.0 24   21.0  999.9    78.1*   37.0*  0.00I 999.9  000000 
725955 24259  19500516    61.8 24    30.1 24  1011.3 24   919.3 24   41.2 24    5.0 24   12.0  999.9    82.0*   39.9*  0.00I 999.9  000000 
725955 24259  19500517    57.6 24    29.4 24  1011.5 24   919.4 24   44.7 24   10.0 24   22.9  999.9    80.1*   44.1*  0.00I 999.9  000000 
725955 24259  19500518    49.7 24    23.0 24  1019.1 24   925.6 24   41.8 24    9.9 24   19.0  999.9    66.0*   36.0*  0.00I 999.9  000000 
725955 24259  19500519    54.7 24    20.3 24  1019.1 24   925.8 24   46.0 24    6.1 24   14.0  999.9    75.0*   34.0*  0.00I 999.9  000000 
725955 24259  19500520    61.1 24    29.8 24  1018.2 24   925.5 24   38.5 24    5.2 24   14.0  999.9    80.1*   39.9*  0.00I 999.9  000000 
725955 24259  19500521    66.1 24    38.0 24  1014.8 24   922.9 24   37.5 24    6.9 24   15.0  999.9    82.0*   52.0*  0.00I 999.9  000000 
725955 24259  19500522    66.9 24    37.6 24  1012.1 24   920.6 24   39.8 24    7.3 24   14.0  999.9    84.0*   50.0*  0.00I 999.9  000000 
725955 24259  19500523    63.7 24    32.9 24  1011.9 24   920.2 24   39.4 24    7.6 24   14.0  999.9    82.9*   42.1*  0.00I 999.9  000000 
725955 24259  19500524    64.1 24    32.0 24  1013.6 24   921.6 24   37.3 24    7.9 24   22.9  999.9    82.0*   46.9*  0.00I 999.9  000000 
